date,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
2023-10-24,jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2176,12,22,3,5,2,4,3,10,11,1,1,2,2,29.3
2023-10-24,bookede01,Devin Booker,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,2218,13,21,3,8,3,3,1,5,8,1,0,6,4,23.7
2023-10-24,jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1740,10,16,1,4,0,1,1,7,5,1,0,0,1,20.3
2023-10-24,gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2099,7,11,1,2,0,0,2,5,5,2,1,0,0,19.2
2023-10-24,murraja01,Jamal Murray,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2055,8,13,3,5,2,2,0,2,6,0,1,1,3,18.4
2023-10-24,princta02,Taurean Prince,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1793,6,8,4,6,2,2,1,2,1,0,1,1,0,16.5
2023-10-24,curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1845,8,20,4,14,7,7,1,4,1,1,0,2,5,15.8
2023-10-24,nurkiju01,Jusuf Nurkić,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1672,5,8,1,2,3,3,3,11,3,0,1,1,5,15.6
2023-10-24,okogijo01,Josh Okogie,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1898,7,9,1,1,2,2,4,1,1,1,0,2,2,15.5
2023-10-24,caldwke01,Kentavious Caldwell-Pope,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2175,8,12,2,3,2,2,1,1,1,3,1,3,5,15.2
2023-10-24,paulch01,Chris Paul,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,2053,4,15,0,6,6,7,1,5,9,2,0,1,0,14.2
2023-10-24,reaveau01,Austin Reaves,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1880,4,11,1,2,5,7,4,4,4,2,0,2,2,13.1
2023-10-24,portemi01,Michael Porter,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1808,5,13,2,9,0,0,2,10,2,2,0,0,1,12.3
2023-10-24,moodymo01,Moses Moody,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1079,4,6,2,4,1,2,1,2,0,3,1,1,1,11.6
2023-10-24,davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2049,6,17,1,2,4,4,1,7,4,0,2,2,3,11.3
2023-10-24,kuminjo01,Jonathan Kuminga,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1208,4,8,0,0,4,6,3,3,1,2,1,2,5,9.6
2023-10-24,duranke01,Kevin Durant,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,2207,7,22,1,2,3,5,2,9,3,0,1,2,1,9.1
2023-10-24,looneke01,Kevon Looney,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1678,3,6,0,0,1,1,5,6,1,0,0,2,2,7.2
